"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"MT-010","P0","1.1","both","Baseline repro: 200+error payload request loop","Add/confirm a deterministic reproduction for HTTP 200 + {error:{code/type:rate_limit_exceeded}} and verify pause behavior.","A test or script reproduces the 200+error payload case; classification is protectable and endpoint pause is applied (pausedUntil set) instead of continuous retry.","AUTOSERVER","Ensure repro uses fixed inputs (no network) and captures both structured error payload and expected pause outcome.","Run classification tests; ensure repro remains stable across Node versions.","已完成","已完成","已完成","已提交","","services/apiProtection200ErrorPayloadPause.test.ts:1;services/apiProtection.ts:457;services/apiProtection.ts:363","picked_reason:P0 在分类修复后补齐 200+error payload 的可复现用例，锁定 pause 行为;done_at:2026-03-10;acceptance:200+{error:{code/type:rate_limit_exceeded}} -> protectable 429 and pausedUntil set;evidence:node --experimental-strip-types services/apiProtection200ErrorPayloadPause.test.ts; node --experimental-strip-types services/apiProtectionClassification.test.ts; node --experimental-strip-types services/parseFailureBaseline.test.ts"
"MT-020","P0","1.2","backend","Classify rate_limit_exceeded code/type as HTTP_429 (even if HTTP 200)","Extend classifyEndpointFailure to treat structured error code/type (rate_limit_exceeded and variants) as rate limit.","Given error.code/type (and cause/response.data.error variants) == rate_limit_exceeded, classifyEndpointFailure returns code=HTTP_429, shouldProtect=true, statusCode=429.","AUTOSERVER","Prefer structured fields over message text; avoid impacting AbortError/local errors; keep reason priority stable.","Run apiProtection classification + parse baseline tests; spot-check no false positives for non-rate-limit errors.","已完成","已完成","已完成","已提交","","plan/2026-03-10_21-39-38-api-protection-200-error-pause.md:24;services/apiProtection.ts:363;services/apiProtection.ts:172;services/apiProtectionClassification.test.ts:33","picked_reason:P0 结构化限流分类是后续 pause/复现/回归的前置能力;state_reset:2026-03-10 CSV 预填状态与当前 repo/测试不一致，按现实回滚重做;done_at:2026-03-10;acceptance:structured error.code/type (cause/response.data.error) rate_limit_exceeded -> HTTP_429 protect=true statusCode=429;evidence:node --experimental-strip-types services/apiProtectionClassification.test.ts; node --experimental-strip-types services/parseFailureBaseline.test.ts"
"MT-030","P1","1.3","backend","Add Chinese rate-limit message keyword fallback","Extend RATE_LIMIT_KEYWORDS to include common localized rate limit phrases from proxy providers.","Given message contains 调用频率限制/频率限制/限流, classifyEndpointFailure returns HTTP_429 and shouldProtect=true.","AUTOSERVER","Keep keyword set minimal to avoid overmatching; document why Chinese keywords are included.","Ensure parse-failure classification remains PARSE_BUBBLES_INVALID and not misclassified as 429.","已完成","已完成","已完成","已提交","","services/apiProtection.ts:172;services/apiProtection.ts:182;services/apiProtectionClassification.test.ts:93","picked_reason:P1 补齐中文限流关键字兜底，覆盖代理/本地化错误消息;done_at:2026-03-10;acceptance:message contains 调用频率限制/频率限制/限流 -> HTTP_429 protect=true;evidence:node --experimental-strip-types services/apiProtectionClassification.test.ts; node --experimental-strip-types services/parseFailureBaseline.test.ts"
"MT-040","P0","1.4","backend","Default pause on remote UNKNOWN failures","When request reached provider but error remains UNKNOWN, classify as protectable UNKNOWN to prevent infinite spend.","Remote UNKNOWN (has status/response or OpenAI/Gemini API wrapper) yields code=UNKNOWN_FAILURE with shouldProtect=true; local UNKNOWN remains shouldProtect=false.","AUTOSERVER","Remote detection heuristics must be strict; AbortError and pure local errors must not trigger protection.","Run classification tests; verify unknown_remote case protects while socket reset local case does not.","已完成","已完成","已完成","已提交","","services/apiProtection.ts:418;services/apiProtection.ts:220;services/apiProtectionClassification.test.ts:139","picked_reason:P0 为远端未知错误增加默认保护暂停，避免无限重试/消耗;done_at:2026-03-10;acceptance:remote UNKNOWN (has status/response/wrapper) -> UNKNOWN_FAILURE protect=true; local unknown remains protect=false;evidence:node --experimental-strip-types services/apiProtectionClassification.test.ts; node --experimental-strip-types services/parseFailureBaseline.test.ts"
"MT-050","P0","1.5","frontend","Ensure pause is applied before releasing scheduler capacity (request mode)","Await protection event-queue update in request-mode protectable failures so pausedUntil is visible immediately to the scheduler.","On protectable failure, endpoint update is committed before additional scheduling; repeated immediate requests against a paused endpoint do not occur under concurrency.","AUTOE2E","Avoid deadlocks in the event queue; keep error path responsive; ensure batch mode unchanged.","Manual run with 1 endpoint + concurrency>1: after rate limit, requests stop until pause expires; no UI freeze.","已完成","已完成","已完成","已提交","","hooks/useProcessor.ts:475;hooks/useProcessor.ts:222","picked_reason:P0 request 模式下 protectable failure 需先落地 pause 再释放调度并发，避免同轮继续压测;done_at:2026-03-10;acceptance:protectable failure awaits endpoint pause commit before scheduling continues (request mode);validation_limited:AUTOE2E/手动 UI 回归在当前环境无法自动化复现真实限流;manual_test:设置单 endpoint 且 concurrency>1; 连续处理多张图触发限流; 观察触发后直到 pausedUntil 过期前不再继续发请求/调度该 endpoint; UI 无卡死;evidence:await dispatchEndpointProtectionUpdate in protectable failure path; npm run build;risk:medium 调度窗口缩小但需真实并发+限流验证无漏网请求"
"MT-060","P0","1.6","backend","Add regression tests for rate-limit + remote UNKNOWN pause classification","Extend apiProtectionClassification tests to cover structured rate_limit_exceeded, Chinese message fallback, remote UNKNOWN protect, local UNKNOWN not protect.","services/apiProtectionClassification.test.ts includes cases for code/type/cause/message and unknown scenarios; tests pass under node --experimental-strip-types.","AUTOSERVER","Tests must be deterministic and minimal; cover both positive and negative classification paths.","Run parseFailureBaseline and translation contract tests to ensure no collateral regressions.","已完成","已完成","已完成","已提交","","services/apiProtectionClassification.test.ts:34;services/apiProtectionClassification.test.ts:167;services/apiProtection.ts:369;services/apiProtection.ts:423;services/apiProtection.ts:182","picked_reason:P0 固化限流/远端 UNKNOWN 的回归用例，防止后续回退;done_at:2026-03-10;acceptance:classification tests cover structured rate_limit_exceeded + 中文 message + remote UNKNOWN protect + local UNKNOWN not protect;evidence:node --experimental-strip-types services/apiProtectionClassification.test.ts; node --experimental-strip-types services/parseFailureBaseline.test.ts; node --experimental-strip-types services/geminiServiceTranslationContract.test.ts"
"MT-070","P1","1.7","both","Manual verify: real provider rate limit triggers endpoint pause","Use real provider/proxy to hit the frequency limit and confirm endpoint is paused (pausedUntil) and request volume drops.","When provider returns rate-limit payload, UI shows endpoint paused with remaining time; scheduler stops issuing requests to that endpoint until pause expires.","AUTOE2E","Capture repro steps and expected UI indicators; ensure no other endpoints are impacted.","Verify pause expiry resumes normal operation; verify disableThreshold behavior after repeated failures.","已完成","已完成","已完成","已提交","","reports/api-protection-manual-rate-limit-verify.md:1;hooks/useProcessor.ts:883;hooks/useProcessor.ts:475;components/settings/ProviderTab.tsx:693","picked_reason:P1 输出可执行的真实限流手动验证步骤，闭环 pause/恢复/disableThreshold 观察项;done_at:2026-03-10;acceptance:manual verify steps recorded for real rate limit -> pausedUntil/UI pause + scheduler stop + resume + disableThreshold;validation_limited:需要真实 provider/代理限流环境与凭证，当前无法执行;manual_test:按 reports/api-protection-manual-rate-limit-verify.md 执行;evidence:added reports/api-protection-manual-rate-limit-verify.md;risk:medium 需在真实限流下确认暂停窗口与恢复/停用行为无偏差"
"MT-080","P2","1.8","both","Optional: disable on 400/401/403; consider resume-after-pause","Non-blocking follow-ups: treat config errors as disable with clear reason; optionally add wait-and-resume scheduling after pausedUntil.","Decision recorded and (if implemented) 401/403 disables endpoint with user-facing reason; resume logic does not spin when all endpoints paused.","AUTOE2E","Do not weaken protection semantics; ensure disable does not break existing save/load behavior.","Run provider settings regression; verify pause/disable states persist as intended.","未开始","未开始","未开始","未提交","","plan/2026-03-10_21-39-38-api-protection-200-error-pause.md:47;report.md:292;hooks/useProcessor.ts:903",""
"MT-090","P1","2.1","frontend","Repro + acceptance: endpoint concurrency U/E mismatch","Confirm steps causing UI to show U!=E after saving concurrency and how V2 scheduling uses effectiveConcurrency.","Repro steps documented; acceptance: normal save results in U==E immediately; degraded save keeps E; refresh does not reintroduce mismatch.","AUTOFRONTEND","Ensure repro covers both normal and apiProtectionStateMachineV2 scenarios.","Manual verify after fix: no residual U!=E; V2 scheduling respects effectiveConcurrency in degraded mode.","已完成","已完成","已完成","已提交","","reports/endpoint-concurrency-ue-mismatch.md:1;components/settings/ProviderTab.tsx:305;hooks/useProcessor.ts:891;types.ts:427;services/aiConfigStorage.ts:88","picked_reason:P1 补齐复现与验收文档，帮助回归验证 U/E 不一致已被消除;done_at:2026-03-10;acceptance:repro+验收已文档化；normal 保存 U==E；degraded 保存不抬 E；刷新不再引入 normal U!=E;validation_limited:AUTOFRONTEND 需要手动 UI 走查;manual_test:按 reports/endpoint-concurrency-ue-mismatch.md 执行清单验证;evidence:added reports/endpoint-concurrency-ue-mismatch.md"
"MT-100","P0","2.2","frontend","Fix ProviderTab handleSave to sync effectiveConcurrency in normal mode","When saving endpoint concurrency, set effectiveConcurrency to concurrency in normal mode; preserve degraded protection overrides.","Normal mode save: UI shows U==E without toggling power; degraded mode save: does not raise E; refresh keeps expected values.","AUTOFRONTEND","Decide based on previous protection state; avoid weakening degraded semantics; keep endpoint object normalization consistent.","Check endpoint list rendering for pause/disabled flags; ensure edits do not reset pausedUntil/disableReason.","已完成","已完成","已完成","已提交","","components/settings/ProviderTab.tsx:305;components/settings/ProviderTab.tsx:319;components/settings/ProviderTab.tsx:355","done_at:2026-03-10;acceptance:normal save syncs E=U immediately; degraded save preserves E (no raise) and caps to U; refresh keeps expected values;validation_limited:AUTOFRONTEND 需手动 UI 验证保存与刷新链路;manual_test:Settings->Endpoints 编辑 concurrency 并保存; 正常态应从 U10/E10 变 U5/E5 无需电源开关; degraded 态保存不抬高 E; 刷新页面后仍无 U!=E;evidence:handleSave merges previous runtime fields and syncs effectiveConcurrency; npm run build;risk:medium 需确认 degraded 语义与历史错配数据在 UI/加载链路表现符合预期"
